title,abstract,market_type,media_source,url,publish_time,section_tags,event_tags,assets_id,sentiment,attention
股王宝座不好坐 “茅台魔咒”击落中科创达,即使是在市场最恐慌的时候，依旧有那么一批个股，倔强地站在涨停板之上，仿佛使出了传说中的神功“金钟罩”，丝毫不受市场寒风的侵袭。它们有一个共同的标签——次新股。 就在上周，中科创达(300496)无视四次熔断的冲击，迎来上市后的第20个涨停，也一举坐上股王宝座。,A股,中国网,http://finance.china.com.cn/stock/ssgs/20160113/3541530.shtml,2016-01-13 7:16:00,综合金融服务,个股涨停,300496.XSHE,1,2
连拿21个涨停板 中科创达成“第一高价股”,“风水轮流转，股王轮流坐”。1月8日，一家名为“中科创达”的公司，以225元的价格，成为A股的第一高价股。 与此前的暴风科技类似，中科创达也是在上市后经历连续涨停坐上“股王”之位的。,A股,中国网,http://finance.china.com.cn/stock/ssgs/20160111/3536884.shtml,2016-01-11 2:31:06,应用软件,个股创新高,300496.XSHE,1,2
超越茅台 中科创达成“股王”,历来次新股上市都会遭到资金的爆炒，而一些发行价较高的公司在连续涨停后很快加入了百元股阵营，2015年12月10日登陆创业板的次新股中科创达（行情300496，买入）就是同批次新股中的代表。截至上周五，在连续21个涨停板后，中科创达股价达到225.49元/股，超越贵州茅台（行情600519，买入）成为新“股王”，不过从公司自身业绩来看，并无明显增长，股王位置恐难长久,A股,金融界,http://stock.jrj.com.cn/2016/01/11003720383341.shtml,2016-01-11 0:37:35,证券,个股创新高,300496.XSHE,1,2
新“股王”中科创达业绩增速放缓 或受累于索尼,“风水轮流转，股王轮流坐”。1月8日，一家名为“中科创达”的公司，以225元的价格，成为A股的第一高价股。 与此前的暴风科技类似，中科创达也是在上市后经历连续涨停坐上“股王”之位的。,A股,我的煤炭网,http://www.mycoal.cn/news/show/80833/,2016-01-11 0:00:00,应用软件,业绩提高,300496.XSHE,1,2
次新股占高价股半壁江山 中科创达接棒成“新股王”,在A股的一片嘈杂声中，两市第一高价股悄然易主，次新股中科创达(300496)以225.49元的高价成为了两市“新股王”。中科创达已连续21涨停，涨幅达693.7%。在两市前十大高价股中，除了贵州茅台(600519)及世纪游轮(002558)外，其余8只都是新股或次新股。,A股,财富动力网,http://www.927953.com/cj/yw/138196.html,2016-01-09 6:24:50,证券,个股创新高,300496.XSHE,1,2
物联网发动机 中科创达IoT解决方案火爆2016CES,一年一度的CES美国国际消费电子展揭开大幕。作为科技圈在2016年开年的头等大事，不论是行业巨头还是初创企业，都将其视为“秀肌肉”的绝佳舞台。今年，智能硬件、智能家居、智能汽车吸引着上万的参会者参观。,A股,电子产品世界,http://www.eepw.com.cn/article/201601/285488.htm,2016-01-08 0:00:00,工业机械,新产品发布,300496.XSHE,1,2
中科创达登陆创业板一路走高 美国高通公司鼎力支持,2015年年底，中科创达在深交所创业板刮起一阵旋风。这是中国首家从事智能终端操作系统产品研发、销售及提供相关技术服务的企业实现上市。而此次发行也受到了投资者的热捧，其股价一路走高，并以多日涨停的成绩迅速突破百元大关。,A股,青海新闻网,http://www.qhnews.com/newscenter/system/2016/01/04/011904354.shtml,2016-01-04 10:31:00,半导体产品与设备,A股上市,300496.XSHE,1,2
中科创达：携手高通成立合资公司，剑指智能硬件万亿市场,中科创达与高通成立合资公司，强强联手剑指智能硬件万亿级市场，加速实现2.0战略按量收费的商业模式变革。公司的控股权地位在最大稀释条件下仍得以保障，合资公司有望逐步增厚母公司业绩。维持“强烈推荐-A”评级。,A股,财富动力网,http://www.927953.com/gp/yb/141479.html,2016-02-20 10:11:23,电子系统组装,巨头合作,300496.XSHE,1,2
中科创达拟拓展智能硬件业务,中科创达2月18日晚发布《关于与高通成立合资公司的公告》，双方拟共同出资设立重庆创通联达智能技术有限公司。该合资公司注册资本人民币18，739，200元。中科创达以自有现金出资15，360，000元，持股比例81.97%；高通公司以自有现金出资3，379，200元，持股比例18.03%。,A股,中国网,http://finance.china.com.cn/stock/ssgs/20160219/3590249.shtml,2016-02-19 0:31:01,电子系统组装,扩大研发投入,300496.XSHE,1,2
中科创达斥资亿元并购两企业 开拓车载市场业务,中国网财经4月11日讯中科创达今日午间公告称，公司9日与自然人鲍晓东、鲍有才签署了《中科创达软件股份有限公司与鲍晓东、鲍有才之股权转让协议》，公司拟以总价不超过10260万元的现金购买北京爱普新思电子技术有限公司和北京慧驰科技有限公司各100%股权。交易完成后，爱普新思和慧驰科技为中科创达全资子公司。 公告显示，慧驰科技、爱普新思是专注于汽车前装市场信息娱乐系统研发的独立设计公司和销售公司，具备包括高可靠性低成本系统开发、高性能免调收音、音响系统车身匹配、CAN和诊断、全点阵显示HMI快速原、车载CD伺服等多项车载信息娱乐系统核心技术，并且在销售上具有广泛的市场份额。,A股,中国网,http://finance.china.com.cn/stock/ssgs/20160411/3670784.shtml,2016-04-11 14:02:58,汽车服务,扩大研发投入,300496.XSHE,1,2
A股新“股王”诞生 中科创达成第一高价股预示什么,核心提示：5月19日，A股第一高价股再次易主，次新股中科创达（300496）开盘后强势拉升，仅用10分钟，股价就轻松超越贵州茅台，登上两市第一高价股的宝座。,A股,21财经搜索,http://news.21so.com/2016/gushi_520/1416197.html,2016-05-20 10:09:30,证券,股价创新高,300496.XSHE,1,2
中科创达登顶新股王,5月19日，大盘波澜不惊，弱势行情中却迎来股王权杖更迭——中科创达收报252.57元，超越贵州茅台（245.77元），成为两市第一高价股。syD潇湘晨报网 实际上，这已是中科创达第二次登上股王宝座，今年1月8日，新上市的中科创达在连续21个涨停后，股价报225.49元/股，也曾超越贵州茅台204.63元/股，成为A股第一高价股。syD潇湘晨报网 中科创达去年12月10日上市，发行价仅23.27元，以周四收盘价计算，该股上市以来涨逾10倍。,A股,潇湘晨报,http://www.xxcb.cn/event/caijing/2016-05-20/9056547.html,2016-05-20 9:23:37,证券,个股创新高,300496.XSHE,1,2
A股第一高价股又被刷新 中科创达登顶究竟预示什么?,今日(5月19日)，A股第一高价股再次易主，次新股中科创达(300496)开盘后强势拉升，仅用10分钟，股价就轻松超越贵州茅台，登上两市第一高价股的宝座。中科创达今日盘中最高价达258.5元，而贵州茅台今日盘中最高价为248.5元;截至收盘，中科创达报252.57元，涨4.8%;贵州茅台报245.77元，微涨0.54%。事实上，这并不是中科创达股价首次超越贵州茅台。,A股,财富动力网,http://www.927953.com/cj/yw/163263.html,2016-05-20 9:08:23,证券,个股创新高,300496.XSHE,1,2
快讯:中科创达高开高走涨逾5% 成两市第一高价股,中国网财经5月19日讯今日中科创达高开高走，截至发稿时，该股报254.50元，涨5.52%。 数据显示，目前中科创达的股价已超过贵州茅台，成为两市第一高价股。(责任编辑：李乔宇)。,A股,中国网,http://finance.china.com.cn/stock/pmkx/20160519/3730303.shtml,2016-05-19 13:42:00,证券,个股创新高,300496.XSHE,1,2
中科创达:下一代智能终端核心标的,原标题：中科创达：下一代智能终端核心标的1、公司是领先的智能终端平台技术提供商，以操作系统为核心延伸至移动安全、车载、物联网等业务领域。2、公司并购慧驰科技和爱普新思加码车载终端，有望显著增加公司在前装车厂的客户资源和市场，整合上下游优质生态。公司作为平台型厂商，在产业链中占据核心位臵，通过收购和投资进入横向更多行业领用领域，逐渐从操作系统延伸至移动安全、车载、物联网、摄像头核心IP技术、企业移动管理等领域。,A股,财富动力网,http://www.927953.com/gp/yb/162824.html,2016-05-18 10:44:47,半导体产品与设备,业绩超过预期,300496.XSHE,1,2
中科创达股票价格上涨幅度超过105% 深交所提三大疑问,沪深两市第一高价股中科创达6月16日接到深交所问询函。深交所表示，自2016年2月以来，中科创达股票价格由155.75元上涨至最高超过300元，上涨幅度超过105%。对此，深交所提出三大疑问。,A股,中国网,http://finance.china.com.cn/stock/ssgs/20160617/3770781.shtml,2016-06-17 8:24:00,证券,个股上涨,300496.XSHE,1,2
中科创达董事长身家半年涨百亿,在5月19日股价超越贵州茅台后，中科创达并未停下上扬的脚步。6月2日收盘，中科创达涨6.21%，报收296元/股，逼近300元大关。其每股股价高出贵州茅台28.26元，稳坐A股股价头把交椅。,A股,中国网,http://finance.china.com.cn/stock/ssgs/20160603/3751647.shtml,2016-06-03 2:30:00,证券,个股上涨,300496.XSHE,1,2
中科创达股东名单连错两回 董秘自罚全年奖金,上市公司中科创达连续两次更正股东名单，而且是在即将重组停牌的关键时刻。作为直接责任人，公司董事会秘书武楠自愿放弃本年度全部奖金。 设立于北京的中科创达是一家全球智能终端平台技术和操作系统核心技术提供商，目标市场包括智能手机、平板电脑、车载终端、移动安全操作系统、智能硬件/物联网以及企业/行业移动信息化。,A股,青海新闻网,http://www.qhnews.com/newscenter/system/2016/11/09/012181234.shtml,2016-11-09 10:54:00,证券,股东变更,300496.XSHE,-1,2
股东名单接连“弄错” 中科创达董秘自罚全年奖金,针对中科创达披露的“停牌前一日股东名单”存在“6只基金携手前海人寿1日内消失”的情况，每经网连续作出独家报道。11月3日收盘后，中科创达发布更正公告，宣称导错了股东名单，并发布了一份全新的名单。,A股,每经网,http://www.nbd.com.cn/articles/2016-11-07/1050884.html,2016-11-07 21:42:48,证券,股东变更,300496.XSHE,-1,2
中科创达上演诡异事件 6只基金携手前海人寿1日内夺路而逃？,一日之间，一家上市公司10大流通股东名单发生巨变，其中9位股东齐刷刷减仓，多位股东退出。这样诡异的一幕就发生在中科创达（300496）身上。,A股,每经网,http://www.nbd.com.cn/articles/2016-11-02/1049589.html,2016-11-02 9:25:19,证券,股东减持,300496.XSHE,-1,2
中科创达以6700万美元收购芬兰汽车软件公司Rightware,北京时间12月19日消息，据外媒报道，中国移动操作系统公司中科创达软件股份有限公司在周一宣布，已同意以6400万欧元(约合6700万美元)收购芬兰汽车软件公司Rightware。Rightware称，公司的“Kanzi”软件已被20多家全球汽车品牌用于包括数字仪表盘、娱乐系统在内的用户界面。这笔交易是中科创达的首笔海外收购交易，预计将在明年年初完成。,A股,科技快报网,http://www.citreport.com/content/8273-1.html,2016-12-19 22:43:00,汽车服务,收购海外公司,300496.XSHE,1,2
钛媒体探访中科创达“相机实验室”：手机拍照体验背后的“神秘力量”,要想弄清硬件以外影响拍照体验的因素，那么中科创达的“相机实验室”是非去不可的。,A股,钛媒体,https://www.tmtpost.com/2587910.html,2017-03-29 8:38:00,电脑与外围设备,高新技术产品,300496.XSHE,1,2
中科创达联合产学研共话嵌入式人工智能，共谋边缘计算发展,随着边缘计算时代的到来，人工智能逐渐从云端向嵌入端迁移，边缘计算核心目的就是在网络边缘侧实现更高的智能，目前相关产业链正在布局中。,A股,RFID世界,http://news.rfidworld.com.cn/2017_07/d4a9663d2956f489.html,2017-07-12 15:56:11,信息技术服务,高新技术产品,300496.XSHE,1,2
中科创达创4个月新高，四维图新涨停创9月新高3日累涨14%！今日留意这1股,8月15日盘前提醒留意的四维图新（002405）再度表示飙升涨停，创出9个半月新高，成交量也小幅放大，创出1年新高。自提醒留意以来，3个交易日累计涨幅逾14%！,A股,每经网,http://www.nbd.com.cn/articles/2017-08-18/1139601.html,2017-08-18 7:47:16,证券,股价创新高,300496.XSHE,1,2
中科创达回应删稿事件 机构率游资“捧场”炒作,今日中科创达股价快速上涨，尾盘实现涨停。但据计算，今日买卖中科创达前五席位累计净卖出金额为2262万元，主力资金呈现流出状态。,A股,每经网,http://www.nbd.com.cn/articles/2017-09-06/1145610.html,2017-09-06 20:41:01,证券,舆论澄清,300496.XSHE,1,2
快讯：无人驾驶概念股走强 中科创达等2股涨停,中国网财经9月6日讯无人驾驶概念股走强，截至发稿，中科创达、大富科技涨停，四维图新涨逾5%，浙江世宝、中鼎股份涨逾4%。(责任编辑：曹婕)。,A股,中国网,http://finance.china.com.cn/stock/pmkx/20170906/4380956.shtml,2017-09-06 14:26:00,汽车服务,板块上涨,300496.XSHE,1,2
中科创达扩大智能汽车领域布局 不再限于车内空间,11月3日，ThunderWorld2017中科创达嵌入式人工智能技术论坛在京举行。上证报记者获悉，中科创达正扩大在智能汽车领域的布局，已不再限于车内空间(智能驾驶舱).中科创达CTO邹鹏程在演讲时表示，真正的人工智能是云端AI和嵌入式AI相辅相成的。嵌入式AI的发展仍有不少挑战，需要芯片性能、算法框架的优化，以及上层软件应用这三个层面逐一突破。,A股,财富动力网,http://www.927953.com/gp/gegu/339952.html,2017-11-06 13:35:18,汽车,生产计划,300496.XSHE,1,2
中科创达拟3100万欧元收购图像视觉公司,一直聚焦“嵌入式人工智能”的中科创达，正进一步拓展自身在算法领域的竞争优势。中科创达12月4日公告，公司拟以3100万欧元现金收购MMSolutionsAD公司。标的公司是一家行业领先的移动和工业图形图像技术企业，具有先进的图像处理算法开发、优化和集成能力，将提升中科创达在嵌入式视觉及人工智能领域的市场竞争地位。,A股,财富动力网,http://www.927953.com/gp/gegu/344862.html,2017-12-04 10:41:41,计算机应用,收购海外公司,300496.XSHE,1,2
中科创达：拟3100万欧元收购图像影像技术公司,中科创达：拟3100万欧元收购图像影像技术公司,A股,上海新闻网,https://www.021news.cn/show-326542-1.html,2017-12-03 22:07:03,证券,收购海外公司,300496.XSHE,1,2
卡位嵌入式人工智能，中科创达想要做平台级开发工具,嵌入式人工智能是发展人工智能路上的必经之路，如何将算法与硬件更好的结合起来加速这一过程？中科创达提出了他们的方案。,A股,钛媒体,https://www.tmtpost.com/2911479.html,2017-11-27 9:23:00,多种金属与采矿,生产计划,300496.XSHE,1,2
加速人工智能场景落地 中科创达与独角兽企业寒武纪达成战略合作,今日，全球领先的智能平台技术提供商中科创达与国际首个人工智能芯片独角兽公司寒武纪科技达成战略合作，双方将携手共同开发新型的人工智能技术以及面向行业的人工智能解决方案。双方将加速推动人工智能场景落地，从而实现整个生态链商业价值的释放。在今年两会上，总理政府工作报告提出：发展壮大新动能，做大做强新兴产业集群，实施大数据发展行动，加强新一代人工智能研发应用。,A股,极客网,http://www.fromgeek.com/ai/156042.html,2018-04-09 0:00:00,半导体产品与设备,战略合作,300496.XSHE,1,2
中科创达回应记者提问 智能驾驶舱客户已超70家,中科创达29日在互动平台上表示，目前全球采用中科创达智能驾驶舱解决方案的客户超过70家，覆盖了欧洲、美国、中国、日本和韩国，尤其在中国已经超过了30家。按照汽车市场的客户惯例，实际量产开发中的项目都不能对外进行披露。另外，公司在重庆设立了智能汽车协同创新研究院，旨在与高通、TI、QNX、Sony、百度等全球顶级的合作伙伴一起打造面向未来智能驾驶、无人驾驶的智能网联汽车的产业生态环境，来给客户提供更为完备的一站式智能驾驶舱解决方案。,A股,中国财经时报网,http://focus.3news.cn/hyxw/2018/0329/250754.html,2018-03-29 10:49:48,汽车服务,战略合作,300496.XSHE,1,2
中科创达：多款产品已经量产 将带来爆发式业务增长,4月27日，中科创达迎来了上海沱水资产管理、东亚前海证券、东吴人寿等多家机构前来调研。调研中，本次减持的情况以及对智能手机业务的展望等成为关注的焦点，公司对相关问题进行了解答和探讨。本次减持的情况本次减持的个人共有三位：一位董事、两位高管。,A股,财富动力网,http://www.927953.com/gp/gegu/378044.html,2018-05-02 11:23:04,综合金融服务,拓展业务,300496.XSHE,1,2
中科创达智能驾驶舱2.0荣获CES Asia 2018 “汽车技术类”创新奖,6月13日，期待已久的CESAsia2018盛大开幕，美国消费技术协会(CTA)公布了2018亚洲消费电子展(CESAsia2018)创新奖获奖产品名单。凭借强劲的产品性能以及炫酷并独具创意的UI/UE设计能力，中科创达智能驾驶舱2.0解决方案脱颖而出荣获“汽车技术类”创新奖。据悉，CESAsia创新奖旨在表彰具有卓越设计和杰出工程美学的消费科技产品。,A股,第一电动网,https://www.d1ev.com/news/qiye/70151,2018-06-14 7:00:00,汽车,获得奖项,300496.XSHE,1,2
中科创达软件股份有限公司参加OFweek 2018“维科杯”中国人工智能行业年度评选,为鼓励更多人工智能企业投入技术创新，表彰人工智能行业公认的优秀产品，OFweek中国高科技行业门户携高科会推出了OFweek2018“维科杯”中国人工智能行业年度评选活动。目前，活动已经完成企业报名并将进入投票及评审阶段，评选获奖结果将于2018年8月15日公示入围名单公式。8月30－9月1日举办颁奖典礼。,A股,极客网,http://www.fromgeek.com/ai/179207.html,2018-07-17 0:00:00,计算机应用,一般认证许可,300496.XSHE,1,2
面对全球智能化浪潮，中科创达如何抓住机遇？,科技的进步总会给我们的生活带来前所未有的改变，随着物联网、人工智能技术的发展，我们的生活、工作方式也将迎来新的变化。如正在到来的第四次工业革命，是继机械化、电气化及信息化之后的一次大规模的智能化浪潮，将带我们进入到新的智能时代，席卷全球化的智能化浪潮来袭。以手机为例，手机的智能化进程也是一波三折，手机的发展经历了从大哥大到功能机再到智能手机，在很长的一段时间里，功能机都是占据主导地位，直到2008年iPhone的诞生，才真正把手机带到了智能时代。,A股,极客网,http://www.fromgeek.com/ai/176914.html,2018-07-06 0:00:00,汽车,定期报告分析,300496.XSHE,1,2
中科创达软件股份有限公司参加OFweek 2018“维科杯”中国人工智能行业年度评选,为鼓励更多人工智能企业投入技术创新，表彰人工智能行业公认的优秀产品，OFweek中国高科技行业门户携高科会推出了OFweek2018“维科杯”中国人工智能行业年度评选活动。目前，活动已经完成企业报名并将进入投票及评审阶段，评选获奖结果将于2018年8月15日公示入围名单公式。8月30－9月1日举办颁奖典礼。,A股,极客网,http://www.fromgeek.com/ai/179207.html,2018-07-17 0:00:00,计算机应用,一般认证许可,300496.XSHE,1,2
中科创达副总裁兼智能视觉事业全执行总裁孙力：解析深度学习的前沿研究以及应用出口,由中国高科技行业门户OFweek维科网和高科会主办、OFweek人工智能网承办“OFweek（第二届）国际人工智能产业大会”于8月30日盛大召开。此次大会，随着上千名AI学术领袖、政府领导、领军企业与业界精英的到来，会场气氛持续高涨。大会持续两天，其中中科创达副总裁兼智能视觉事业全执行总裁孙力作为演讲嘉宾之一出席了第一天的主论坛，给大家带来了《解析深度学习的前沿研究以及应用出口》的主题演讲，介绍了嵌入式人工智能人工智能的挑战与实践。,A股,极客网,http://www.fromgeek.com/ai/191870.html,2018-09-07 0:00:00,包装食品与肉类,定期报告分析,300496.XSHE,1,2
中科创达：独立董事关于第三届董事会第四次会议相关事项之独立意见,中科创达软件股份有限公司独立董事关于第三届董事会第四次会议相关事项之独立意见根据《中华人民共和国公司法》（以下简称“《公司法》”）、《关于在上市公司建立独立董事制度的指导意见》、《深圳证券交易所股票上市规则》、《深圳证券交易所创业板上市公司规范运作指引》等法律、法规和规范性文件以及《公司章程》的有关规定，中科创达软件股份有限公司（以下简称“公司”）全体独立董事就公司第三届董事会第四次会议审议的相关事项进行了认真审核并发表独立意见如下：关于公司2017年限制性股票激励计划第一个解除限售期解除限售条件成就的独立意见经核查，公司符合《上市公司股权激励管理办法》及《2017年限制性股票激励计划》等法律、法规及规范性文件规定的实施股权激励计划的情形，公司具备实施股权激励计划的主体资格，未发生不得实施本次股权激励计划的情形，公司业绩指标等解除限售条件已达成；参与本次解除限售的激励对象具备申请解除限售的主体资格，其满足《2017年限制性股票激励计划》等规定的解除限售条件，其作为公司本次可解除限售激励对象的主体资格合法、有效；公司本次解除限售安排符合《上市公司股权激励管理办法》及《2017年限制性股票激励计划》等法律、法规、规范性文件的规定，未侵犯公司及全体股东的利益。（本页无正文，为《中科创达软件股份有限公司独立董事关于第三届董事会第四次会议相关事项之独立意见》之签署页）独立董事：许亮王玥程丽2018年11月5日。,A股,财富动力网,http://www.927953.com/lc/bx/256647.html,2018-11-05 17:29:13,综合金融服务,独董意见,300496.XSHE,0,2
高通减持退出十大股东名单 中科创达：不影响双方业务合作,中科创达(300496，SZ)2018年第三季度报告显示，公司发起人股东高通国际退出了前十大股东以及十大流通股东名单。11月1日，中科创达相关人士告诉《每日经济新闻》记者，高通国际减持应是为了获取投资收益，从战略层面来讲，对高通公司与中科创达之间的业务合作没有影响。,A股,每经网,http://www.nbd.com.cn/articles/2018-11-01/1268604.html,2018-11-01 21:58:09,证券,股东减持,300496.XSHE,-1,2
中科创达发布5g版turbox ai kit 助力人工智能和5g商业化落地,"5g+人工智能中科创达5g版aikit?创造无限可能2019年2月26日，中科创达在西班牙巴塞罗那举行的世界移动通信大会（mwc）上宣布推出搭载高通骁龙x555g调制解调器的人工智能开发套件—5g版turboxaikit。该开发套件不仅支持开发者和制造商专注于打造下一代ai产品，同时支持5g应用开发和测试，助力实现5g终端产品原型设计,推动?vr/ar、车联网、智能制造、智慧能源、无线医疗、无线家庭娱乐、智慧城市等众多领域的5g商业化落地。5g技术无疑是今年mwc2019最大看点之一，尤其是随着各大手机厂商竞相发布5g智能手机，更是全面点燃了大众对5g终端设备的期待。",A股,机电之家,https://www.jdzj.com/news/101890.html,2019-02-26 23:01:01,通信传输设备,新产品发布,300496.XSHE,1,2
亿达中国加速产城融合布局 欲联合金山云、中科创达落地西安,摘要：产城融合是城市空间和产业发展的一种新趋势，受到各地政府的支持。,A股,华夏时报网,http://www.chinatimes.net.cn/article/86575.html,2019-05-17 9:50:52,计算机应用,投资布局,300496.XSHE,1,2
亿达中国携手金山云、中科创达布局西安，打造丝路枢纽产城融合标杆,5月12日上午，在第四届丝绸之路国际博览会暨中国东西部合作与投资贸易洽谈会期间，西安市投资环境推介暨重点项目签约仪式隆重举行，在西安市副委书记、市长李明远，西安市政协主席、西咸新区党工委书记岳华峰，西安市副市长王勇等嘉宾的见证下，西安国家民用航天产业基地党工委副书记、管委会副主任王斌与亿达中国董事局主席姜修文签署了项目合作框架协议。5月12日下午，陕西省委常委牛一兵在西安曲江国际会议中心会见了亿达中国、金山云、中科创达三家企业的代表。牛一兵常委对三家企业联合投资西安表示热烈欢迎，并希望亿达的产城融合项目能够尽快落地西安，围绕金山云、中科创达这样的龙头企业打造新一代信息技术、人工智能及物联网产业的标杆园区。,A股,时代在线,http://www.time-weekly.com/html/20190516/258611_1.html,2019-05-16 15:27:41,计算机应用,战略合作,300496.XSHE,1,2
亿达中国(03639)携手金山云、中科创达布局西安，打造丝路枢纽产城融合标杆,©Reuters.智通财经APP获悉，5月12日上午，在第四届丝绸之路国际博览会暨中国东西部合作与投资贸易洽谈会期间，西安市投资环境推介暨重点项目签约仪式隆重举行，在西安市副委书记、市长李明远，西安市政协主席、西咸新区党工委书记岳华峰，西安市副市长王勇等嘉宾的见证下，西安国家民用航天产业基地党工委副书记、管委会副主任王斌与亿达中国(03639)董事局主席姜修文签署了项目合作框架协议。5月12日下午，陕西省委常委牛一兵在西安曲江国际会议中心会见了亿达中国、金山云、中科创达三家企业的代表。牛一兵常委对三家企业联合投资西安表示热烈欢迎，并希望亿达的产城融合项目能够尽快落地西安，围绕金山云、中科创达这样的龙头企业打造新一代信息技术、人工智能及物联网产业的标杆园区。,A股,英为财情,https://cn.investing.com/news/stock-market-news/article-545881,2019-05-15 16:54:00,计算机应用,战略合作,300496.XSHE,1,2
